18
12
9000,8800,8600,8400,8200,8000,7800,7600,7400,7200,7000,6800
1500,1450,1400,1350,1300,1250,1200,1150,1100,1050,1000,950
950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100
50,55,60,65,70,75,80,85,90,95,100,105
45,50,55,60,65,70,75,80,85,90,95,100
40,45,50,55,60,65,70,75,80,85,90,95
35,40,45,50,55,60,65,70,75,80,85,90
30,35,40,45,50,55,60,65,70,75,80,85
25,30,35,40,45,50,55,60,65,70,75,80
20,25,30,35,40,45,50,55,60,65,70,75
15,20,25,30,35,40,45,50,55,60,65,70
10,15,20,25,30,35,40,45,50,55,60,65
5,10,15,20,25,30,35,40,45,50,55,60
30,35,40,45,50,55,60,65,70,75,80,85
25,30,35,40,45,50,55,60,65,70,75,80
20,25,30,35,40,45,50,55,60,65,70,75
15,20,25,30,35,40,45,50,55,60,65,70
10,15,20,25,30,35,40,45,50,55,60,65
5,10,15,20,25,30,35,40,45,50,55,60
2,7,12,17,22,27,32,37,42,47,52,57
50,60,70,80,90,100,110,120,130,125,123,130
