20
10
6000, 5800, 5600, 5400, 5200, 5000, 4800, 4600, 4400, 4200
900, 850, 800, 750, 700, 650, 600, 550, 500, 450
450, 400, 350, 300, 250, 200, 150, 100, 50, 500, 550, 600, 650, 700, 750, 800, 850, 900, 950, 1000
40, 45, 50, -55, 60, 65, 70, 75, -80, 85
35, 40, 45, 50, 55, -60, 65, 70, 75, 80
-30, 35, 40, 45, 50, -55, 60, 65, 70, 75
25, 30.4, 35, 40, 45, 50, 55, 60, -65, 70
20, 25.3, -30, 35, 40, 45.5, 50, -55, 60, 65
15, 20, -25, 30, 35, 40, 45, 50, 55, 60
10, 15, -20, 25, 30, 35, 40, 45, 50, 55
-5, 10, 15.0, 20, 25, -30, 35, 40, 45, 50
30, 35, 40, 45, 50, 55, 60.2, 65, 70, 75
25, -30, 35, 40, -45.3, 50, 55, 60, 65, 70
20, -25, 30, 35, -40, 45, 50, 55, -60, 65
15, 20, 25, 30, -35, 40, 45, 50, 55, 60
10, 15, 20.9, 25.7, 30, 35/4, 40, 45, 50, 55
5, 10, 15, 20, 25, 30, 35, 40, 45, 50
30, 35, -40, 45, 50, 55, -60, 65, 70, 75
-25, 30, -35, 40, 45, 50, 55, 60, 65, 70
20, 25, 30, 35.1, 40, 45, 50, 55, 60, 65
15, -20, 25, 30, -35.4, 40, 45, -50, 55, 60
10, 15, -20, 25, 30, 35, 40, 45, 50, 55
-5, -10, 15, 20, 25, 30, 35, 40, 45, -50
